userid,degree_1,degree_1_specializations,known_languages,key_skills,career_objective,key_skills_str
1011,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']",['Unknown'],Unknown,Unknown
1012,B.E.,Computer Science Engineering,"['English', ' Marathi', ' Hindi']","['Software Development', ' Data Analysis', ' Data Visualization', ' Machine Learning', ' Game Devlopment', ' UI Development', ' Web Development']",Unknown,"Software Development,  Data Analysis,  Data Visualization,  Machine Learning,  Game Devlopment,  UI Development,  Web Development"
1013,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi']","['C', ' Java', ' Python', ' HTML', ' SQL', ' CPP', ' CSS']",To enrich my knowledge through learning  and to utilize my technical skills for development of the organization.,"C,  Java,  Python,  HTML,  SQL,  CPP,  CSS"
1014,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']",['Unknown'],Unknown,Unknown
1015,B.E.,Computer Science Engineering,"['English', ' Marathi', ' Hindi']","['C', ' Java', ' Python', ' Javascript', ' cpp', ' HTML', ' Html5', ' MySQL', ' Oracle', ' PHP', ' CSS']","Secure a responsible career opportunity to fully utilize my training and skills, while making a significant contribution to the success of the company.To secure a challenging position in a reputable organization to expand my learnings, knowledge, and skills.","C,  Java,  Python,  Javascript,  cpp,  HTML,  Html5,  MySQL,  Oracle,  PHP,  CSS"
1016,B.E.,Computer Science Engineering,"['English', 'Marathi', 'Hindi']","['XML', ' C', ' Java', ' Python', ' Javascript', ' cpp', ' Html5', ' MySQL', ' Android', ' CSS']",To be associated with an organization that provides me an opportunity to grow by acquiring new skills and thus contributing towards the development of the organization and myself.,"XML,  C,  Java,  Python,  Javascript,  cpp,  Html5,  MySQL,  Android,  CSS"
1017,B.E.,Computer Science Engineering,"['Marathi', 'Hindi', 'English']","['java', ' cpp', ' firebase', ' MySQL', ' Android', ' Web Development']",Interested in working with team and to develop projects.,"java,  cpp,  firebase,  MySQL,  Android,  Web Development"
1018,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1019,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['NLP', ' C', ' Java', ' Python', ' Time Series Forecasting', ' Machine Learning', ' Problem Analysis', ' CPP', ' Numpy', ' Pandas']",I like solving challenging problems and learn newer things. I look forward to find that platform where I can display and enhance my skills!,"NLP,  C,  Java,  Python,  Time Series Forecasting,  Machine Learning,  Problem Analysis,  CPP,  Numpy,  Pandas"
1020,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['C', ' Advanced Java', ' Javascript', ' cpp', ' CSS', ' Core Java', ' Android', ' Web Development']","Looking for a challenging role in a reputable organization to utilize my technical, database, and management skills for the growth of the organization as well as to enhance my knowledge about new and emerging trends in the IT sector.","C,  Advanced Java,  Javascript,  cpp,  CSS,  Core Java,  Android,  Web Development"
1021,B.E.,Computer Science Engineering,"['Marathi', ' Hindi', ' English']","['C', ' Java', ' Advanced Java', ' cpp', ' HTML', ' AngularJS', ' PHP']","In quest of challenging opportunities wherein I can use and enhance my innovative , problem-solving skills and evolve with a leading organisation of repute. Computer engineering graduate with an emphasis in Software development and Database security.","C,  Java,  Advanced Java,  cpp,  HTML,  AngularJS,  PHP"
1022,B.E.,Computer Science Engineering,['Gujrati\nHindi\nEnglish\nMarathi'],"['DBMS', ' Javascript', ' cpp', ' Html5', ' ANDRIOD', ' MySQL']",TO BE ASSOCIATED WITH ORGANISATION THAT PROVIDE ME OPPORTUNITY TO GROW BY ACQUIRING NEW SKILLS AND THUS CONTRIBUTING TOWARDS THE DEVELOPMENT OF ORGANISATION AND MYSELF,"DBMS,  Javascript,  cpp,  Html5,  ANDRIOD,  MySQL"
1023,B.E.,Computer Science Engineering,"['Marathi.(R', 'W', 'S)\nHindi. (R', 'W', 'S)\nEnglish.(R', 'W', 'S)']","['C', ' Java', ' HTML', ' Data Visualization', ' R', ' Talend', ' CPP']",To achieving an opportunity in a Reputed organization to accomplishes the carrier goals and objective and for gaining the Industrial knowledge.,"C,  Java,  HTML,  Data Visualization,  R,  Talend,  CPP"
1024,B.E.,Computer Science Engineering,['Unknown'],"['Java', ' Advanced Java', ' Python', ' Javascript', ' Data Structures', ' HTML', ' MySQL', ' CPP', ' Android']",To build a career in a leading corporate with a healthy environment to explore myself and learn on each and every stage of my life.,"Java,  Advanced Java,  Python,  Javascript,  Data Structures,  HTML,  MySQL,  CPP,  Android"
1025,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1026,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['Data Structures', ' Machine Learning', ' Programming', ' Algorithm', ' Linux']","A skilled and knowledgeable computer science student with extensive knowledge of programming and computer applications. Also, detail-oriented and organized professional with a creative mindset and strong project management abilities. Looking for an opportunity in the field of information technology as a software developer in a renowned organization.","Data Structures,  Machine Learning,  Programming,  Algorithm,  Linux"
1027,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi']","['Database', ' HTML', ' Java', ' Object-Oriented Programming', ' MySQL']",To obtain a challenging in a high quality engineering environment where my resourceful academic skills will add value to organizational operations.,"Database,  HTML,  Java,  Object-Oriented Programming,  MySQL"
1028,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1029,B.E.,Computer Science Engineering,"['Marathi', '  Hindi', '  English']","['Arduino', ' Javascript', ' HTML', ' Core Java', ' MySQL', ' CPP']",To excel in my field by extreme hard work and earn a job in an organization which encourages and adapt change and grow with time so that I can achieve my own as well as organisational goals.,"Arduino,  Javascript,  HTML,  Core Java,  MySQL,  CPP"
1030,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1031,B.E.,Computer Science Engineering,['English  Hindi  Marathi  Sindhi'],"['C', ' R', ' HTML', ' cpp', ' SQL']",Unknown,"C,  R,  HTML,  cpp,  SQL"
1032,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1033,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['Java', ' Advanced Java', ' HTML', ' Wordpress', ' OOPs', ' MySQL', ' CPP', ' CSS']","To work in highly motivational environment where I can utilize my skills to the best of my abilities, in order to meet organizational goals with continuous learning and updated knowledge.","Java,  Advanced Java,  HTML,  Wordpress,  OOPs,  MySQL,  CPP,  CSS"
1034,B.E.,Computer Science Engineering,"['English ', 'Hindi', 'Marathi']",['Unknown'],Unknown,Unknown
1035,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['Mathematics', ' Leadership', ' Team management']","To obtain an entry-level position in a company, allowing me to utilize my education and experience gained through extra curricular activities while gaining valuable work experience in a team oriented environment.","Mathematics,  Leadership,  Team management"
1036,B.E.,Computer Science Engineering,"['Marathi', 'Hindi', 'English']","['CPP', ' Public Speaking', ' DBMS', ' Web Development']","To secure a challenging position in a reputable organisation to expand mt learnings,knowledge and skills","CPP,  Public Speaking,  DBMS,  Web Development"
1037,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi', ' Spanish']","['JDBC', ' Java', ' Drupal', ' Wordpress', ' MySQL', ' PHP', ' Web Development']",Unknown,"JDBC,  Java,  Drupal,  Wordpress,  MySQL,  PHP,  Web Development"
1038,B.E.,Computer Science Engineering,"['Marathi', ' Hindi', ' English', ' Japanese(N5 level)']","['C', ' Python', ' cpp', ' Data Structures', ' HTML', ' MySQL', ' PHP', ' CSS']","To enhance my professional/practical skill, business efficiencies career in a renowned firm with dedicated efforts and to associate myself with an organization that gives me a chance to update my knowledge.","C,  Python,  cpp,  Data Structures,  HTML,  MySQL,  PHP,  CSS"
1039,B.E.,Computer Science Engineering,"['English ', 'Hindi ', 'Marathi']","['C', ' Java', ' Python', ' MongoDB', ' MySQL', ' CPP', ' HTML', ' SQL', ' Oracle', ' PHP', ' CSS']","Intend to build a progressive career with the progress of my company as well. My short term goal is to be a part of an organisation
whereby I will be able to improve my skills even more and to pursue all the new technologies going on in the IT market whereas my long term goal is to be the role model of myself which I always expected and to be an independent woman.","C,  Java,  Python,  MongoDB,  MySQL,  CPP,  HTML,  SQL,  Oracle,  PHP,  CSS"
1040,B.E.,Computer Science Engineering,"['Hindi', 'English']","['JQuery', ' Analytical Skills', ' C', ' Data Analysis', ' Java', ' Python', ' Javascript', ' Excel', ' Creative', ' HTML', ' Html5', ' Adobe Photoshop', ' Linux', ' CPP', ' Powerpoint', ' CSS']",To pursue a challenging career and be a part of progressive organization that gives a scope to enhance my knowledge and utilizing my skills towards the growth of the organization.,"JQuery,  Analytical Skills,  C,  Data Analysis,  Java,  Python,  Javascript,  Excel,  Creative,  HTML,  Html5,  Adobe Photoshop,  Linux,  CPP,  Powerpoint,  CSS"
1041,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1042,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']",['Unknown'],Unknown,Unknown
1043,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1044,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1045,B.E.,Computer Science Engineering,"['English', ' Hindi']","['Python', ' cpp', ' Machine Learning', ' Data Structures', ' Firebase', ' Algorithms', ' Problem solving', ' MySQL', ' Oracle', ' Artificial Intelligence']",Unknown,"Python,  cpp,  Machine Learning,  Data Structures,  Firebase,  Algorithms,  Problem solving,  MySQL,  Oracle,  Artificial Intelligence"
1046,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['CommunicationSkills', ' Decisionmakingskills', ' Creativity.', ' Quick\nlearner', ' FlexibilityandAdaptability', ' Stresstolerance']",Unknown,"CommunicationSkills,  Decisionmakingskills,  Creativity.,  Quick
learner,  FlexibilityandAdaptability,  Stresstolerance"
1047,B.E.,Computer Science Engineering,"['English', 'Marathi', 'Hindi']","['C', ' Core Java', ' Advanced Java', ' DataBase', ' HTML', ' Object-Oriented Programming', ' MySQL']","To continously enhance my knowledge, skills and experience by getting involved in the challenging work environment and utilize them for personal and organizational growth to the best of my ability.","C,  Core Java,  Advanced Java,  DataBase,  HTML,  Object-Oriented Programming,  MySQL"
1048,B.E.,Computer Science Engineering,"['Marathi', ' English', ' Hindi']","['C', ' MongoDB', ' Javascript', ' cpp', ' HTML', ' OOPs', ' Core Java', ' MySQL', ' PHP', ' CSS']",Unknown,"C,  MongoDB,  Javascript,  cpp,  HTML,  OOPs,  Core Java,  MySQL,  PHP,  CSS"
1049,B.E.,Computer Science Engineering,['Unknown'],"['Android', ' Java', ' C', ' Problem-Solving using cpp', ' MySQL']",Unknown,"Android,  Java,  C,  Problem-Solving using cpp,  MySQL"
1050,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi']","['C#', ' c', ' java', ' OOPs']","To Secure Challenging Position in a Reputable Organization to Expand  My Learning, Knowledge and skill","C#,  c,  java,  OOPs"
1051,B.E.,Computer Science Engineering,['Unknown'],"['Python', ' HTML', ' Java', ' cpp', ' MySQL']","To secure a position in an established organisation that will allow me to fully utilize my abilities, skills, and knowledge, bringing the organisation and me ""one step forward"".","Python,  HTML,  Java,  cpp,  MySQL"
1052,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1053,B.E.,Computer Science Engineering,"['English ', ' Hindi', ' Marathi']","['IOT', ' Machine Learning', ' Java (Basic)', ' cpp', ' Python (Basic)']",Secure a responsible career opportunity to make use of my interpersonal skills to achieve goals of a company that focuses on customer satisfaction and customer experience.,"IOT,  Machine Learning,  Java (Basic),  cpp,  Python (Basic)"
1054,B.E.,Computer Science Engineering,"['English', ' German', ' Marathi', ' Hindi', '']","['XML', ' C', ' Object-Oriented Programming', ' Python', ' MongoDB', ' PL/SQL', ' Oracle', ' HTML', ' Core Java', ' MySQL', ' CPP', ' PHP']","An excellent academic record, ability to understand fundamentals of various technologies, working knowledge of some of the most basic programming languages, and a strong understanding of core internet technologies.","XML,  C,  Object-Oriented Programming,  Python,  MongoDB,  PL/SQL,  Oracle,  HTML,  Core Java,  MySQL,  CPP,  PHP"
1055,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1056,B.E.,Computer Science Engineering,['English and Hindi'],"['Core java, html, JavaScript,php']",Unknown,"Core java, html, JavaScript,php"
1057,B.E.,Computer Science Engineering,['Unknown'],"['C', ' Javascript', ' cpp', ' Data Structures', ' Algorithms', ' Core Java', ' MySQL']",To make a deep impact into your company in every possible way and to give 100 % from my side,"C,  Javascript,  cpp,  Data Structures,  Algorithms,  Core Java,  MySQL"
1058,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1059,B.E.,Computer Science Engineering,"['Marathi', 'Hindi', 'English', 'German']","['C', ' Java', ' Database', ' Advanced Java', ' Javascript', ' cpp', ' Data Structures', ' HTML', ' JSP', ' SQL', ' Microprocessors', ' PHP', ' CSS']","To work in a firm with a professional work driven environment where I can utilize and apply my knowledge, skills which would enable me as a fresh graduate to grow while fulfilling organizational goals.","C,  Java,  Database,  Advanced Java,  Javascript,  cpp,  Data Structures,  HTML,  JSP,  SQL,  Microprocessors,  PHP,  CSS"
1060,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['DBMS', ' Data Analysis', ' Data Visualization', ' Python', ' C', ' cpp', ' Core Java']","I would like to progress my career in the field of data science. Extracting data, spotting patterns and projecting trajectories has always been an area of interest for me. Looking at the inclination towards data science,  I wish to become a data analyst or data scientist.","DBMS,  Data Analysis,  Data Visualization,  Python,  C,  cpp,  Core Java"
1061,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1062,B.E.,Computer Science Engineering,"['English ', ' Hindi ', ' Marathi']","['CPP', ' Data Mining', ' Leadership', ' Data Analysis', ' Logic']",To perceive a career in a renowned firm with dedicated efforts and to associate myself with an organization that gives me a chance to update my knowledge .,"CPP,  Data Mining,  Leadership,  Data Analysis,  Logic"
1063,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1064,B.E.,Computer Science Engineering,"['English', 'Hindi ', 'Marathi']","['Java', ' SQL', ' cpp', ' HTML', ' MySQL', ' PHP']","Intend to build a progressive career with the progress of my company as well.
 My short term goal is to be a part of an organisation whereby I will be able to improve my skills even more and to pursue all the new technologies going on in the IT market whereas my long term goal is to be the role model of myself which I always expected and to be an independent woman.","Java,  SQL,  cpp,  HTML,  MySQL,  PHP"
1065,B.E.,Computer Science Engineering,"['Marathi', 'Hindi', 'English']",['Unknown'],Unknown,Unknown
1066,B.E.,Computer Science Engineering,['English'],"['Python', ' Data Analysis', ' Data Visualization']",A passionate computer engineer in the making with a drive for analytics and predictive modelling. Quick learner with strong interpersonal linguistic skills. Looking to gain experience and enhance tactical decision making and visualisation skills in a dynamic work environment,"Python,  Data Analysis,  Data Visualization"
1067,B.E.,Computer Science Engineering,['Unknown'],"['Leadership', ' Python', ' Javascript', ' cpp', ' Opencv', ' HTML', ' Core Java', ' MySQL', ' PHP', ' CSS']",Unknown,"Leadership,  Python,  Javascript,  cpp,  Opencv,  HTML,  Core Java,  MySQL,  PHP,  CSS"
1068,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi.']","['DBMS', ' C', ' cpp', ' HTML', ' OOPs', ' Core Java', ' MySQL', ' CSS']",My Career Objective is to learn new things in day by day growing industry. Get Job & keep update myself with the world.Want to become a good developer & learn new skills.,"DBMS,  C,  cpp,  HTML,  OOPs,  Core Java,  MySQL,  CSS"
1069,B.E.,Computer Science Engineering,"['Marathi', ' Hindi', ' English', ' German']","['C', ' Advanced Java', ' cpp', ' HTML', ' SQL', ' CSS']","To work in a dynamic environment that provides a wide spectrum of knowledge,experience and exposure. I seek a career which would help me in providing learning and professional opportunities while starving for the growth and development of the organization and self.","C,  Advanced Java,  cpp,  HTML,  SQL,  CSS"
1070,B.E.,Computer Science Engineering,"['Hindi', ' English', ' Nepali']","['Python', ' DBMS', ' Java', ' c', ' cpp']","To work with a firm with a professional work environment
where I can utilize my technical skills and behavioral skills
for the growth of the organization and to enrich my
knowledge as well.","Python,  DBMS,  Java,  c,  cpp"
1071,B.E.,Computer Science Engineering,['English \nHindi\nMarathi'],['Unknown'],I want to succeed in an environment of growth and excellence to meet personal and organizational goals.,Unknown
1072,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi and Marwadi']","['NLP', ' Data Analysis', ' JSP', ' Big Data', ' Advanced Java', ' AI', ' ML', ' Shell Scripting', ' Bootstrap', ' Communication skills', ' MongoDB', ' Data cleansing', ' Data structures', ' Computer vision', ' Data warehousing', ' Web Services', ' SQL', ' Algorithms', ' PHP', ' Cloud']",To secure a challenging position in a reputable organization and work for betterment of mankind.,"NLP,  Data Analysis,  JSP,  Big Data,  Advanced Java,  AI,  ML,  Shell Scripting,  Bootstrap,  Communication skills,  MongoDB,  Data cleansing,  Data structures,  Computer vision,  Data warehousing,  Web Services,  SQL,  Algorithms,  PHP,  Cloud"
1073,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']",['Unknown'],Unknown,Unknown
1074,B.E.,Computer Science Engineering,"['Marthi', ' English', ' Hindi']",['Unknown'],Looking forward to opportunities in work that will utilize my skills effectively and help in growth of organisation and also personal growth,Unknown
1075,B.E.,Computer Science Engineering,"['C ', ' CPP ', ' Java  ', ' MySQL  ', ' HTML CSS ', ' Python']",['Unknown'],Unknown,Unknown
1076,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1077,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Gujarati']","['Python', ' cpp']",Unknown,"Python,  cpp"
1078,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1079,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1080,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1081,B.E.,Computer Science Engineering,['English \nHindi\nMarathi'],['Unknown'],Unknown,Unknown
1082,B.E.,Computer Science Engineering,"['English', ' HIndi', ' Marathi']","['Programming', ' Object-Oriented Programming', ' Web Development']",Seeking an entry-level position to begin my career in a high-level professional environment.,"Programming,  Object-Oriented Programming,  Web Development"
1083,B.E.,Computer Science Engineering,"['English', 'Marathi', 'Hindi']","['JDBC', ' Java', ' MongoDB', ' Javascript', ' cpp', ' Python(Basics)', ' Html5', ' MySQL', ' Android', ' CSS']",To learn and work in a real professional environment that enables me to be successful in learning and adapting to the latest trending technologies in the field and in the process enable me to achieve personal and organizational goals.,"JDBC,  Java,  MongoDB,  Javascript,  cpp,  Python(Basics),  Html5,  MySQL,  Android,  CSS"
1084,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi']","['C', ' Data Analysis', ' Java', ' Neural Networks', ' Shell Scripting', ' Python', ' MongoDB', ' Linux', ' cpp', ' Machine Learning', ' GIT', ' SSH', ' SQL', ' CNN', ' Android']","To work in an organization that provides learning culture in latest software technologies like AI ,ML,Data Analytics,Neural Networks and Business Analytics. I view myself leading a team in these technologies in next five years.","C,  Data Analysis,  Java,  Neural Networks,  Shell Scripting,  Python,  MongoDB,  Linux,  cpp,  Machine Learning,  GIT,  SSH,  SQL,  CNN,  Android"
1085,B.E.,Computer Science Engineering,"['English', ' Marathi', ' Hindi']","['C', ' Statistics', ' Java', ' MS Office', ' Python', ' Deep Learning', ' Data Science', ' Javascript', ' cpp', ' Machine Learning', ' Data Structures', ' Data Analysis', ' Algorithms', ' Html5', ' Object-Oriented Programming', ' MySQL', ' Android', ' Neural Networks']","Team oriented individual with strong communication, programming skills. I am enthusiastic in finding various pattern in data to derive meaningful insights and building various machine learning and deep learning models to solve the problems and building predictive models.","C,  Statistics,  Java,  MS Office,  Python,  Deep Learning,  Data Science,  Javascript,  cpp,  Machine Learning,  Data Structures,  Data Analysis,  Algorithms,  Html5,  Object-Oriented Programming,  MySQL,  Android,  Neural Networks"
1086,B.E.,Computer Science Engineering,"['Marathi', ' Hindi', ' English']","['C', ' Java', ' Python', ' Javascript', ' DBMS', ' Html5', ' MySQL', ' CPP', ' Android', ' Web Development']","To work in the software domain and to challenge myself intellectually while learning from experienced people and the company, and to contribute back to the society.","C,  Java,  Python,  Javascript,  DBMS,  Html5,  MySQL,  CPP,  Android,  Web Development"
1087,B.E.,Computer Science Engineering,"['English', ' Marathi ', ' Hindi']","['Java', ' Python', ' Machine Learning', ' CPP', ' Android', ' Team Management']",Dedicated and passionate computer engineering student. Aiming to become a good computer engineer with innovative skills.,"Java,  Python,  Machine Learning,  CPP,  Android,  Team Management"
1088,B.E.,Computer Science Engineering,['English and Hindi'],['Unknown'],Unknown,Unknown
1089,B.E.,Computer Science Engineering,['Marathi\nEnglish\nHindi'],['Unknown'],Unknown,Unknown
1090,B.E.,Computer Science Engineering,"['Hindi', 'English', 'Marathi']","['CPP', ' C', ' Java', ' Android', ' MySQL']",Unknown,"CPP,  C,  Java,  Android,  MySQL"
1091,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1092,B.E.,Computer Science Engineering,"['English ', ' Hindi ', ' Marathi']","['C', ' Java', ' Python', ' Programming', ' cpp', ' Machine Learning', ' OOPs']","To secure a challenging position in a reputable organization to expand my learnings , Knowlwdge , and Skills . Secure a responsible carrer opportunity to fully utilize my training and skills , while making a significant contribution to the success of the company.","C,  Java,  Python,  Programming,  cpp,  Machine Learning,  OOPs"
1093,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1094,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi']","['C', ' HTML', ' cpp']",Unknown,"C,  HTML,  cpp"
1095,B.E.,Computer Science Engineering,['Unknown'],"['Data Structures', ' Linux', ' Algorithms', ' Operating System']",Unknown,"Data Structures,  Linux,  Algorithms,  Operating System"
1096,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi']","['C', ' Java', ' DBMS', ' cpp', ' HTML', ' SQL', ' Android']",Unknown,"C,  Java,  DBMS,  cpp,  HTML,  SQL,  Android"
1097,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1098,B.E.,Computer Science Engineering,['no'],"['Time Management', ' Decision Making', ' Conflict Resolution']",Unknown,"Time Management,  Decision Making,  Conflict Resolution"
1099,B.E.,Computer Science Engineering,['Unknown'],"['Photoshop', ' Javascript', ' Java', ' IBM Sterling OMS', ' MongoDB', ' SQL', ' Eclipse', ' Tableau', ' cpp', ' Maven', ' Talend', ' Html5', ' Ubuntu', ' Android', ' Jmeter', ' lightroom', ' Powerpoint', ' CSS', ' Beanshell']","I have worked intensively in Web ,Android application and script development, worked fairly in Database Management and am currently working in a paid Performance Engineering Internship with Yantriks,Bangalore for 6 months with a goal to understand and implement a new software or a new language everyday.I always aimed to reach out to new and latest developments in the field of computer science, I code passionately,am quick to learn and grasp , and I aim to work as a Full-Stack Developer with Experience and an Exquisite Skill set.","Photoshop,  Javascript,  Java,  IBM Sterling OMS,  MongoDB,  SQL,  Eclipse,  Tableau,  cpp,  Maven,  Talend,  Html5,  Ubuntu,  Android,  Jmeter,  lightroom,  Powerpoint,  CSS,  Beanshell"
1100,B.E.,Computer Science Engineering,"['English', ' Hindi and Marathi']",['Unknown'],Unknown,Unknown
1101,B.E.,Computer Science Engineering,['Unknown'],"['API', ' Bootstrap', ' Java', ' MongoDB', ' Javascript', ' cpp', ' JSON', ' HTML', ' OOPs', ' MySQL', ' ReactJS', ' PHP', ' CSS']","Secure a responsible career opportunity to fully utilize my training and skills, while making a significant contribution to the success of the company.","API,  Bootstrap,  Java,  MongoDB,  Javascript,  cpp,  JSON,  HTML,  OOPs,  MySQL,  ReactJS,  PHP,  CSS"
1102,B.E.,Computer Science Engineering,"['English', ' Marathi', ' Hindi', ' Sanskrit']","['C', ' Java', ' Javascript', ' cpp', ' Object-Oriented Programming', ' Android']","Dedicated and Passionate computer engineering student aiming to become good computer engineer with creative and innovative skills.
To utilise my technical knowledge, skill sets for the growth of industry and also to develop my skills and experience for personal and professional growth.
Interested and Experienced in Innovating & Developing ideas.
 Deep Learning enthusiast.","C,  Java,  Javascript,  cpp,  Object-Oriented Programming,  Android"
1103,B.E.,Computer Science Engineering,"['C', 'cpp', ' Core Java', ' Oracle SQL', ' Advanced Java', ' python']","['Oracle SQL 12G', ' Spring', ' Software design pattern', ' JSP', ' Core Java']","To obtain a full-time position in the field of Computer Engineering with an emphasis on technology integration, special interests include Programming language.","Oracle SQL 12G,  Spring,  Software design pattern,  JSP,  Core Java"
